Experiment,Generation,Top Eigenvalue,Spectral Ratio,Bulk Width
Control A (Fresh),0,928.891357421875,274.2555215910308,3.386955901682941
Control A (Fresh),1,237.27503967285156,26728.55905961731,0.008877210295684708
Control A (Fresh),2,287.7623596191406,198.3522906273921,1.4507639851747753
Control A (Fresh),3,238.60377502441406,3824.3767632653853,0.062390237624152356
Control A (Fresh),4,250.49118041992188,28777.837885967245,0.008704308552035708
Control A (Fresh),5,415.515869140625,501.5038081338497,0.8285398084748445
Control B (Static),0,928.891357421875,274.2555215910308,3.386955901682941
Control B (Static),1,253.79940795898438,156.32946484245542,1.6234905442474106
Control B (Static),2,264.38360595703125,173.06226361550574,1.527679116369442
Control B (Static),3,281.1203918457031,149.5982222846621,1.8791693347182616
Control B (Static),4,301.2605895996094,273.0851138875404,1.1031747037067423
Control B (Static),5,263.0968017578125,217.77169183044126,1.208131321139121
Control C (Qwen),0,76231.046875,160.9697731748159,473.57367393573816
Control C (Qwen),1,2006.410400390625,119.56090991087211,16.781491558456054
Control C (Qwen),2,2608.98095703125,56.16157139109299,46.45491378549683
Control C (Qwen),3,791.6764526367188,36.47111971626233,21.706941239967286
Control C (Qwen),4,1263.71142578125,215.22337862462828,5.8716271153111705
Control C (Qwen),5,6440985.0,819459.9695428205,7.860036169421976
